section,pipeline,query,metric,value,rank,doc_id,score,notes
D,base,,status,passed,,,,"count, TF, IDF, TF-IDF and cosine checks"
F,A Minimal,,vocabulary,473388,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,A Minimal,,avg_tokens_doc,361.08906666666667,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,A Minimal,,sparsity,0.9996113415774516,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,A Minimal,,oov_rate,0.0,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,A Minimal,,mean_top1_cosine_unlabeled,0.44756610442019307,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,B Normalized,,vocabulary,193837,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,B Normalized,,avg_tokens_doc,369.6963666666667,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,B Normalized,,sparsity,0.9991221902939067,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,B Normalized,,oov_rate,0.0,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,B Normalized,,mean_top1_cosine_unlabeled,0.46482642213749426,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,C Extended,,vocabulary,230564,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,C Extended,,avg_tokens_doc,1377.4690333333333,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,C Extended,,sparsity,0.9975925997409252,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,C Extended,,oov_rate,0.0,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
F,C Extended,,mean_top1_cosine_unlabeled,0.5127185657104534,,,,OOV is measured on the fixed query set; cosine is not relevance effectiveness
G,B Normalized,classification,cosine,0.5766341393281543,1,18971,0.5766341393281543,url=http://glt.rts.fi/etusivu/rts-ymparistoluokitus/rts-glt-environmental-classification-information-in-english/; preview=The new RTS Environmental Classification system (RTS GLT) is designed for parties who are commissioning construction projects and who want to build in an environmentally responsible manner. The enviro
G,B Normalized,classification,cosine,0.4767335990643476,2,8527,0.4767335990643476,url=https://books.google.rs/books?id=tXxQAAAAMAAJ&amp;hl=sr&amp;source=gbs_book_other_versions_r&amp;cad=4; preview=History of maize classification. How races used in classification. Geographical distribution. Existing races of maize in Mexico.
G,B Normalized,classification,cosine,0.24311601363038488,3,15284,0.24311601363038488,"url=https://www.ars.usda.gov/research/publications/publication/?seqNo115=341744; preview=Citation: Wu, T., Armstrong, P.R., Maghirang, E.B. 2018. Vis- and NIR-based instruments for detection of black-tip damaged wheat kernels: A comparative study. Transactions of the ASABE. 61(2):461-467."
G,B Normalized,classification,cosine,0.23866873831820082,4,11560,0.23866873831820082,url=http://www.4sq.co.uk/training/1-day-hazardous-area-classification-training-course; preview=On completion of this course delegates will be aware of all the relevant terminology of the hazardous area field and will understand the parameters of hazardous materials relevant to area classificati
G,B Normalized,classification,cosine,0.2123898075705327,5,15667,0.2123898075705327,url=https://docs.splunk.com/Documentation/Splunk/7.2.5/Admin/Workloadrulesconf; preview=The following are the spec and example files for workload_rules.conf. # configure workloads classification rules for splunk. # There is a workload_rules.conf file in the $SPLUNK_HOME/etc/system/defaul
G,B Normalized,model,cosine,0.3718533195141863,1,10309,0.3718533195141863,url=https://www.manfrottospares.com/055cl-parts.html; preview=This model is identifiable by the different shape of leg locking lever. See image below for the style fitted to this model. Please compare to the other drawing.
G,B Normalized,model,cosine,0.3245322607361549,2,17997,0.3245322607361549,"url=https://www.ufz.de/osiris/index.php?en=22157; preview=The central software outcome of OSIRIS is the OSIRIS webtool. This tool guides in performing ITS on skin sensitisation, repeated dose toxicity, mutagenicity, carcinogenicity, bioconcentration factor, "
G,B Normalized,model,cosine,0.32372919267330635,3,7913,0.32372919267330635,"url=http://2018carsmodels.com/2017-ford-atlas/; preview=Even though its official release date is not yet announced, there are some rumors that the latest 2017 Ford Atlas will hit the market probably in the beginning of 2017. Almost everyone knows that the "
G,B Normalized,model,cosine,0.3124256320717593,4,25336,0.3124256320717593,"url=https://www.clickgolf.co.uk/product/trolley-storage-hook; preview=Holds all Clicgear carts Model 1.0, 2.0, 3.0 and all Model 3.5. Works great at home or at your local course. Comes with mounting screws and instructions."
G,B Normalized,model,cosine,0.3049727408233183,5,9991,0.3049727408233183,url=https://katyachay.myportfolio.com/plasticine-3d; preview=Ones at work I had to do 3D model of my idea of inflatable crip. Unfortunately I don't have 3D skills. That's why I created model of plasticine.
G,B Normalized,healthcare,cosine,0.4445839693123212,1,11119,0.4445839693123212,url=https://www.harmony-alliance.eu/for-patients-carers/4-important-questions-about-big-data-in-health; preview=The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys
G,B Normalized,healthcare,cosine,0.4438057141975555,2,11979,0.4438057141975555,url=http://www.ciu.edu.tr/en/academic/institute-graduate-studies-and-research/professional-doctorate-programs/healthcare; preview=Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broade
G,B Normalized,healthcare,cosine,0.4294814829933659,3,9252,0.4294814829933659,"url=https://www.westhealth.org/press-release/west-health-policy-center-bolsters-commitment-to-lowering-healthcare-costs/; preview=SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, "
G,B Normalized,healthcare,cosine,0.34683804286747366,4,11777,0.34683804286747366,"url=https://www.nendo.co.ke/post/african-led-vision-journeys-through-passports-digital-products-catalyst-for-transformation-in-healthcare; preview=It is much cheaper (50–70% cheaper) to fly to Europe, the UAE and sometimes North America than it is to fly within the African continent. There’s a couple of challenges bundled in there. Visas and fre"
G,B Normalized,healthcare,cosine,0.33083698919488935,5,6123,0.33083698919488935,"url=https://www.healthcarestudies.nz/Online-Degrees/; preview=With today’s advancement in technology, it is becoming more convenient than ever before to earn a Bachelor’s degree in a health-related field online. Some specializations, such as nutrition or public "
G,B Normalized,processing,cosine,0.5569513792982824,1,8705,0.5569513792982824,"url=https://foodsafetyhelpline.com/appendix-c-processing-aids/; preview=These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in t"
G,B Normalized,processing,cosine,0.32999395325744724,2,6445,0.32999395325744724,url=http://www.techfetch.com/job-description/Full-Stack-Java-Developer-San-Antonio-TX-J3375330; preview=Back end processing in addition to front end UI experience is required. Experience in working with complex queries against databases/tables with large number of records. · Bachelor’s degree in Compute
G,B Normalized,processing,cosine,0.32592829203928547,3,29286,0.32592829203928547,"url=http://www.irctcloginpage.in/6212/mining-plant-incharge-crushing-and-processinging-copper-ore-2017-02-02/; preview=The area includes Azerbaijan's first operating gold mine as well as a number of . heap leach and processing facility for the recovery of gold, copper and silver in 2008. . Prior to the construction of"
G,B Normalized,processing,cosine,0.29782552924075495,4,15526,0.29782552924075495,url=http://www.suesylvester.co.za/2018-Dec-27/189107_mobile-mineral-procesing-grinding-plant.html; preview=1089 products Alluvial gold processing plant mobile mini gold trommel wash plant . China Portable Mineral Processing Alluvial Gold Washing Plant For Sale. 679 products Kaolin Processing Plant Wholesal
G,B Normalized,processing,cosine,0.2803707126456956,5,18547,0.2803707126456956,"url=http://www.hups.mil.gov.ua/periodic-app/article/17680; preview=Системи обробки інформації. — 2017. — № 4(150). – С. 163-169. Annotation: Issues of business information processing, which are necessary for management decision- making, are considered in the article."
G,B Normalized,natural language processing,cosine,0.37410930323452707,1,25428,0.37410930323452707,"url=https://www.basicfacebookhelp.com/2018/11/change-facebook-to-english.html; preview=Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick "
G,B Normalized,natural language processing,cosine,0.3690188772646561,2,8705,0.3690188772646561,"url=https://foodsafetyhelpline.com/appendix-c-processing-aids/; preview=These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in t"
G,B Normalized,natural language processing,cosine,0.2878409072206108,3,24482,0.2878409072206108,"url=https://www.eflmagazine.com/interview-harald-kruithof/; preview=Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. I"
G,B Normalized,natural language processing,cosine,0.28195250307271946,4,701,0.28195250307271946,"url=https://www.anadolu.edu.tr/en/academics/faculties/1889/program-in-french-language-teackktc-nationality/program-profile; preview=Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work"
G,B Normalized,natural language processing,cosine,0.2767290561623267,5,4075,0.2767290561623267,"url=https://www.urbanpro.com/gurgaon/urgently-require-spanish-language-instructor-at-home-in-gwal-pahari/12552067; preview=Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language"
H,B Normalized,ALL,status,pending,,,,manual relevance labels required
